#Distance	x(m)	y(m)	Elevation(m)
873.7541634	2598198.873	1198321.811	557.7789917
877.4565116	2598201.134	1198324.743	557.5319824
881.1588597	2598203.395	1198327.675	557.3380127
884.8612079	2598205.656	1198330.607	556.9910278
888.563556	2598207.917	1198333.538	557.0650024
892.2659042	2598210.178	1198336.47	557.098999
895.9682523	2598212.439	1198339.402	557.0670166
899.6706005	2598214.699	1198342.334	556.7529907
903.3729486	2598216.96	1198345.266	556.6060181
907.0752968	2598219.221	1198348.198	556.3359985
910.7776449	2598221.482	1198351.13	556.1550293
914.4799931	2598223.743	1198354.061	556.2689819
918.1823412	2598226.004	1198356.993	556.1740112
921.8846894	2598228.265	1198359.925	556.1779785
925.5870375	2598230.526	1198362.857	556.0339966
929.2893857	2598232.786	1198365.789	555.9530029
932.9917338	2598235.047	1198368.721	555.8099976
936.694082	2598237.308	1198371.653	555.7579956
940.3964301	2598239.569	1198374.585	555.6290283
944.0987783	2598241.83	1198377.516	555.5969849
947.8011264	2598244.091	1198380.448	555.6450195
951.5034746	2598246.352	1198383.38	555.6640015
955.2058227	2598248.613	1198386.312	555.7390137
958.9081709	2598250.873	1198389.244	555.7150269
962.610519	2598253.134	1198392.176	555.7020264
966.3128672	2598255.395	1198395.108	556.1480103
970.0152153	2598257.656	1198398.039	556.1959839
973.7175635	2598259.917	1198400.971	555.9849854
977.4199116	2598262.178	1198403.903	555.8610229
981.1222598	2598264.439	1198406.835	554.367981
984.8246079	2598266.699	1198409.767	554.2849731
988.5269561	2598268.96	1198412.699	553.1879883
992.2293042	2598271.221	1198415.631	553.0109863
995.9316524	2598273.482	1198418.562	553.1710205
999.6340005	2598275.743	1198421.494	552.8850098
1003.336349	2598278.004	1198424.426	552.4550171
1007.038697	2598280.265	1198427.358	552.4249878
1010.741045	2598282.526	1198430.29	552.0319824
1014.443393	2598284.786	1198433.222	552.0889893
1018.145741	2598287.047	1198436.154	552.1229858
1021.848089	2598289.308	1198439.086	552.0130005
1025.550438	2598291.569	1198442.017	551.8300171
1029.252786	2598293.83	1198444.949	551.7290039
1032.955134	2598296.091	1198447.881	551.5650024
1036.657482	2598298.352	1198450.813	551.4450073
1040.35983	2598300.613	1198453.745	551.3029785
1044.062178	2598302.873	1198456.677	551.1329956
1047.764526	2598305.134	1198459.609	550.9769897
1051.466875	2598307.395	1198462.54	550.8740234
1055.169223	2598309.656	1198465.472	550.7730103
1058.871571	2598311.917	1198468.404	550.882019
1062.573919	2598314.178	1198471.336	550.7579956
1066.276267	2598316.439	1198474.268	550.5079956
1069.978615	2598318.7	1198477.2	549.8040161
1073.680964	2598320.96	1198480.132	549.8359985
1077.383312	2598323.221	1198483.064	549.7059937
1081.08566	2598325.482	1198485.995	549.6439819
1084.788008	2598327.743	1198488.927	549.492981
1088.490356	2598330.004	1198491.859	549.7260132
1092.192704	2598332.265	1198494.791	549.6719971
1095.895052	2598334.526	1198497.723	549.6829834
1099.597401	2598336.787	1198500.655	549.7420044
1103.299749	2598339.047	1198503.587	549.664978
1107.002097	2598341.308	1198506.518	549.6420288
1110.704445	2598343.569	1198509.45	549.6119995
1114.406793	2598345.83	1198512.382	549.5130005
1118.109141	2598348.091	1198515.314	549.4710083
1121.811489	2598350.352	1198518.246	549.4370117
1125.513838	2598352.613	1198521.178	549.3709717
1129.216186	2598354.874	1198524.11	549.3460083
1132.918534	2598357.134	1198527.041	549.3250122
1136.620882	2598359.395	1198529.973	549.3109741
1140.32323	2598361.656	1198532.905	549.3300171
1144.025578	2598363.917	1198535.837	549.3809814
1147.727927	2598366.178	1198538.769	549.3519897
1151.430275	2598368.439	1198541.701	549.3599854
1155.132623	2598370.7	1198544.633	549.3189697
1158.834971	2598372.961	1198547.565	549.3140259
1162.537319	2598375.221	1198550.496	549.2810059
1166.239667	2598377.482	1198553.428	549.2689819
1169.942015	2598379.743	1198556.36	549.2730103
1173.644364	2598382.004	1198559.292	549.2949829
1177.346712	2598384.265	1198562.224	549.2869873
1181.04906	2598386.526	1198565.156	549.2520142
1184.751408	2598388.787	1198568.088	549.1439819
1188.453756	2598391.048	1198571.019	549.1389771
1192.156104	2598393.308	1198573.951	549.1480103
1195.858452	2598395.569	1198576.883	549.1589966
1199.560801	2598397.83	1198579.815	549.1040039
1203.263149	2598400.091	1198582.747	549.132019
1206.965497	2598402.352	1198585.679	549.1469727
1210.667845	2598404.613	1198588.611	549.1469727
1214.370193	2598406.874	1198591.543	549.1329956
1218.072541	2598409.135	1198594.474	550.1240234
1221.77489	2598411.395	1198597.406	551.3569946
1225.477238	2598413.656	1198600.338	552.8449707
1229.179586	2598415.917	1198603.27	553.7009888
1232.881934	2598418.178	1198606.202	555.3410034
1236.584282	2598420.439	1198609.134	557.0040283
1240.28663	2598422.7	1198612.066	558.2160034
1243.988978	2598424.961	1198614.997	558.026001
1247.691327	2598427.222	1198617.929	558.6370239
1251.393675	2598429.482	1198620.861	558.3220215
1255.096023	2598431.743	1198623.793	557.434021
1258.798371	2598434.004	1198626.725	555.0650024
1262.500719	2598436.265	1198629.657	552.8660278
1266.203067	2598438.526	1198632.589	552.6290283
1269.905415	2598440.787	1198635.52	552.6920166
1273.607764	2598443.048	1198638.452	552.5
1277.310112	2598445.309	1198641.384	553.3939819
1281.01246	2598447.569	1198644.316	553.8670044
1284.714808	2598449.83	1198647.248	554.1300049
1288.417156	2598452.091	1198650.18	555.1829834
1292.119504	2598454.352	1198653.112	555.0960083
1295.821853	2598456.613	1198656.044	555.0969849
1299.524201	2598458.874	1198658.975	554.9829712
1303.226549	2598461.135	1198661.907	555.2990112
1306.928897	2598463.395	1198664.839	554.9359741
1310.631245	2598465.656	1198667.771	555.3029785
1314.333593	2598467.917	1198670.703	555.4660034
1318.035941	2598470.178	1198673.635	555.5739746
1321.73829	2598472.439	1198676.567	555.5640259
1325.440638	2598474.7	1198679.498	555.6160278
1329.142986	2598476.961	1198682.43	554.6339722
1332.845334	2598479.222	1198685.362	554.9840088
1336.547682	2598481.482	1198688.294	554.8369751
1340.25003	2598483.743	1198691.226	554.8410034
1343.952378	2598486.004	1198694.158	554.9310303
1347.654727	2598488.265	1198697.09	555.2000122
1351.357075	2598490.526	1198700.022	553.0289917
1355.059423	2598492.787	1198702.953	553.8410034
1358.761771	2598495.048	1198705.885	553.0100098
1362.464119	2598497.309	1198708.817	552.7739868
1366.166467	2598499.569	1198711.749	553.0390015
1369.868816	2598501.83	1198714.681	553.5640259
1373.571164	2598504.091	1198717.613	553.3880005
1377.273512	2598506.352	1198720.545	553.7059937
1380.97586	2598508.613	1198723.476	553.7340088
1384.678208	2598510.874	1198726.408	553.5380249
1388.380556	2598513.135	1198729.34	553.3380127
1392.082904	2598515.396	1198732.272	554.0700073
1395.785253	2598517.656	1198735.204	554.2180176
1399.487601	2598519.917	1198738.136	554.1900024
1403.189949	2598522.178	1198741.068	554.4819946
1406.892297	2598524.439	1198744	554.507019
1410.594645	2598526.7	1198746.931	554.4459839
1414.296993	2598528.961	1198749.863	554.3699951
1417.999341	2598531.222	1198752.795	553.9799805
1421.70169	2598533.483	1198755.727	553.4379883
1425.404038	2598535.743	1198758.659	551.6439819
